mae,rmse,r,outcome,dimension,setup,n,y_mean,y_std,y_max
6.408716725604112,9.246189721785258,0.37619587217459743,WAB AudWdRec,comprehension,features_only,318,53.55974842767296,9.283508875615384,60.0
5.2126093986834565,7.578249963051675,0.6000742115309265,WAB AudWdRec,comprehension,subtype+features,318,53.55974842767296,9.283508875615384,60.0
4.9618245956920495,7.277534889688107,0.62500647779651,WAB AudWdRec,comprehension,subtype+features+emb,318,53.55974842767296,9.283508875615384,60.0
6.809751882143004,10.095219119361245,0.21860159778539284,WAB AudWdRec,comprehension,dev_age_only,318,53.55974842767296,9.283508875615384,60.0
5.344808035036206,8.157315190579292,0.5438136980133167,WAB AudWdRec,comprehension,subtype+dev_age,318,53.55974842767296,9.283508875615384,60.0
5.064514609073309,7.374139837999062,0.6131005466872478,WAB AudWdRec,comprehension,subtype+features+emb+acoustic,318,53.55974842767296,9.283508875615384,60.0
12.344773471532339,15.547842052134754,0.7154948766254339,WAB SeqComm,comprehension,subtype_only,318,53.874213836477985,22.242726784776153,80.0
15.327501765483277,19.37077870391425,0.5165514588152386,WAB SeqComm,comprehension,features_only,318,53.874213836477985,22.242726784776153,80.0
12.972329203270757,16.367690557421277,0.6808363171473336,WAB SeqComm,comprehension,subtype+features,318,53.874213836477985,22.242726784776153,80.0
13.128974065976712,16.37581260966476,0.6770385040262931,WAB SeqComm,comprehension,subtype+features+emb,318,53.874213836477985,22.242726784776153,80.0
18.59535738414972,22.9606054862261,0.2631479272807578,WAB SeqComm,comprehension,dev_age_only,318,53.874213836477985,22.242726784776153,80.0
13.841637164872381,17.551173860922333,0.6313332539490016,WAB SeqComm,comprehension,subtype+dev_age,318,53.874213836477985,22.242726784776153,80.0
12.877435335740335,16.1180593637833,0.6901259011500084,WAB SeqComm,comprehension,subtype+features+emb+acoustic,318,53.874213836477985,22.242726784776153,80.0
1.9184629765494425,2.348544498051639,0.4968844415240602,Sent Comp Total,comprehension,subtype_only,69,15.521739130434783,2.6844085287709794,20.0
2.0512927954244864,2.5334431687555212,0.37807853751744247,Sent Comp Total,comprehension,features_only,69,15.521739130434783,2.6844085287709794,20.0
2.0211972565601557,2.5320515951422293,0.38347526049843933,Sent Comp Total,comprehension,subtype+features,69,15.521739130434783,2.6844085287709794,20.0
2.045770433434253,2.5574624116075757,0.32533509482885287,Sent Comp Total,comprehension,subtype+features+emb,69,15.521739130434783,2.6844085287709794,20.0
2.8661119975027267,3.4471075604575088,0.10059385217052592,Sent Comp Total,comprehension,dev_age_only,69,15.521739130434783,2.6844085287709794,20.0
2.4655454895670044,3.0294200152720254,0.3019825308581796,Sent Comp Total,comprehension,subtype+dev_age,69,15.521739130434783,2.6844085287709794,20.0
2.0395348971030356,2.490215630268574,0.3868882801929666,Sent Comp Total,comprehension,subtype+features+emb+acoustic,69,15.521739130434783,2.6844085287709794,20.0
3.947989912631416,5.0150084822995895,0.656558263301296,VNT Total,lexical-verb,subtype_only,315,14.58095238095238,6.638197717320596,22.0
4.26897830733239,5.363293699988674,0.6014651552792063,VNT Total,lexical-verb,features_only,315,14.58095238095238,6.638197717320596,22.0
3.8918940705677696,4.818236365482593,0.6899316519279783,VNT Total,lexical-verb,subtype+features,315,14.58095238095238,6.638197717320596,22.0
3.3362233215120796,4.128992879550557,0.7875689312680848,VNT Total,lexical-verb,subtype+features+emb,315,14.58095238095238,6.638197717320596,22.0
5.508435934281988,6.744173307808984,0.2905983877500528,VNT Total,lexical-verb,dev_age_only,315,14.58095238095238,6.638197717320596,22.0
4.498338288051635,5.653833808056092,0.5613338623186724,VNT Total,lexical-verb,subtype+dev_age,315,14.58095238095238,6.638197717320596,22.0
3.377724113525607,4.219037620758671,0.774717593137127,VNT Total,lexical-verb,subtype+features+emb+acoustic,315,14.58095238095238,6.638197717320596,22.0
