corpus,feature,n,mean_change,std_change,t_stat,p
Kurland,ndw,26,-7.175641025641028,33.474446051600886,-1.0930347751200717,0.2847995713545861
Kurland,verbs_per_utterance,26,0.1221708990286846,0.2545551179878333,2.447217730543572,0.02176532749285245
Kurland,utt_len_std,26,0.002912880843395693,0.8426263414963867,0.017626835917411134,0.9860764734978194
Kurland,function_word_ratio,26,0.058394671924532154,0.13750803614642124,2.1653685121063195,0.04010287252527157
Kurland,hapax_ratio,26,-0.005695185189941532,0.0560091589125656,-0.5184841368957148,0.6086795803530066
Kurland,single_word_ratio,26,0.005774983195386491,0.07058296235764287,0.4171934843813986,0.6800978088727739
MSU,z1,16,0.14225160436941564,0.8869022895469703,0.6415660712391565,0.5308371398275453
MSU,z2,16,-0.09803210840000512,0.3794856967616132,-1.0333154502166895,0.31782964353354726
MSU,z3,16,-0.047241172008873705,0.894277292126289,-0.21130435682449308,0.8354937950731743
MSU,z4,16,-0.20468329517654557,0.6395997249897154,-1.280071189397943,0.2199631684150775
MSU,z5,16,-0.016381431186887868,0.5567127650422575,-0.11770113577794056,0.9078660795171613
MSU,z6,16,-0.036450435676030284,0.4688167999321357,-0.31099939832622653,0.7600811238761448
MSU,z7,16,0.007274958157941321,0.4096598865255711,0.07103412755046219,0.9443090272102233
MSU,z8,16,-0.10017874091026696,0.7503377805533148,-0.5340460976729337,0.6011354179692912
MSU,mlu_morphemes,16,0.37403040711193614,1.8819268905838944,0.7949945536851071,0.4390155057715157
MSU,mlu_words,16,0.1678211341855138,0.7863254033189934,0.8536981431715632,0.40669934067114544
MSU,ttr,16,-0.01081905026493879,0.027341475573401233,-1.5828041520134999,0.13431853997224014
MSU,ndw,16,-2.557291666666666,29.691230759734058,-0.3445181087117147,0.7352393849965896
MSU,verbs_per_utterance,16,0.006368815472394453,0.12695991769795667,0.20065594206026977,0.8436629404151815
MSU,utt_len_std,16,0.01890524261170437,0.8549355868859289,0.08845224319444235,0.9306873703203161
MSU,function_word_ratio,16,-0.0025419667183888654,0.015078890204601392,-0.6743113541905551,0.5103727205439458
MSU,hapax_ratio,16,-0.002079255418824859,0.04713265146485896,-0.17645987265325863,0.8622930648872609
MSU,single_word_ratio,16,0.001630200653958211,0.035803143118388274,0.18212933412775706,0.8579197532139997
SCALE,z1,16,-1.9268150958216292,2.9899269193045446,-2.5777420623642606,0.021008733518928065
SCALE,z2,16,-2.3049639109374165,3.5597417443281265,-2.5900349817342834,0.020501519354844882
SCALE,z3,16,-0.1262528113834081,1.8509657841902967,-0.27283661850861773,0.788699159835238
SCALE,z4,16,0.432584907990999,1.6759984040122962,1.0324231979109337,0.3182337405923405
SCALE,z5,16,-0.3529076710790609,1.4576536499538255,-0.9684266796580657,0.34818799034350056
SCALE,z6,16,0.5001182020520614,1.5301323728254748,1.3073854548376498,0.210767687070774
SCALE,z7,16,-0.20591971162793274,1.0247645582663663,-0.8037737447762443,0.43408131226812763
SCALE,z8,16,-0.1334947628476596,0.8976867516868304,-0.5948389573392343,0.5608178301943945
SCALE,mlu_morphemes,16,-2.3537116677218375,4.716120630731254,-1.9963116739504474,0.06438312099297985
SCALE,mlu_words,16,-0.452935290166088,1.5309033469943558,-1.1834458159761485,0.25504948083315593
SCALE,ttr,16,0.0340975780982849,0.07911713962523627,1.7239034808285043,0.10526713764465008
SCALE,ndw,16,-0.7750000000000004,40.37834494801317,-0.07677382527667316,0.9398181550552888
SCALE,verbs_per_utterance,16,-0.18659732542995455,0.3376397843650832,-2.2106082762828754,0.04301520597341174
SCALE,utt_len_std,16,-0.1939813526148049,0.9155792094521384,-0.8474694515218575,0.4100524037745682
